Urn	AnalyzedText	TokenType	TextDeformation	EditorialStatus	DiscourseLevel	ExemplarUrn	Sequence
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:0_title_1_0	urn:cts:greekLit:tlg0007.tlg012.ziegler:0.title@ΠΕΡΙΚΛΗΣ[1]	urn:cite2:fufolio:tokenTypes.v1:word	ΠΕΡΙΚΛΗΣ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:0.title.1	0
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:0_title_2_1	urn:cts:greekLit:tlg0007.tlg012.ziegler:0.title@ΚΑΙ[1]	urn:cite2:fufolio:tokenTypes.v1:word	ΚΑΙ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:0.title.2	1
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:0_title_3_2	urn:cts:greekLit:tlg0007.tlg012.ziegler:0.title@ΦΑΒΙΟΣ[1]	urn:cite2:fufolio:tokenTypes.v1:word	ΦΑΒΙΟΣ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:0.title.3	2
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:0_title_4_3	urn:cts:greekLit:tlg0007.tlg012.ziegler:0.title@ΜΑΞΙΜΟΣ[1]	urn:cite2:fufolio:tokenTypes.v1:word	ΜΑΞΙΜΟΣ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:0.title.4	3
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:1_1_1_0	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@Ξένους[1]	urn:cite2:fufolio:tokenTypes.v1:word	Ξένους	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.1	4
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:1_1_2_1	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@τινὰς[1]	urn:cite2:fufolio:tokenTypes.v1:word	τινὰς	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.2	5
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:1_1_3_2	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@ἐν[1]	urn:cite2:fufolio:tokenTypes.v1:word	ἐν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.3	6
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:1_1_4_3	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@Ῥώμῃ[1]	urn:cite2:fufolio:tokenTypes.v1:word	Ῥώμῃ	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.4	7
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:1_1_5_4	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@πλουσίους[1]	urn:cite2:fufolio:tokenTypes.v1:word	πλουσίους	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.5	8
urn:cite2:fufolio:PlutPericles_SyntaxTokens.v1:1_1_6_5	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.1@κυνῶν[1]	urn:cite2:fufolio:tokenTypes.v1:word	κυνῶν	urn:cite2:fufolio:editorialStatus.v1:default	urn:cite2:fufolio:tokdiscourse.v1:direct	urn:cts:greekLit:tlg0007.tlg012.ziegler.syntaxToken:1.1.6	9
