urn	string	label
urn:cite:fufolio:pos.1.v1	d--------	adverb
urn:cite:fufolio:pos.2.v1	n-s---mn-	noun, singular, masculine, nominative
urn:cite:fufolio:pos.3.v1	v3siia---	verb, third, singular, imperfect, indicative, active
urn:cite:fufolio:pos.4.v1	a-s---mg-	adjective, singular, masculine, genitive
urn:cite:fufolio:pos.5.v1	n-s---mg-	noun, singular, masculine, genitive
urn:cite:fufolio:pos.6.v1	v-srpemn-	verb, singular, perfect, participle, medio-passive, masculine, nominative
urn:cite:fufolio:pos.7.v1	p3s---ma-	pronoun, third, singular, masculine, accusative
urn:cite:fufolio:pos.8.v1	v3siie---	verb, third, singular, imperfect, indicative, medio-passive
urn:cite:fufolio:pos.9.v1	c--------	conjunction
urn:cite:fufolio:pos.10.v1	r--------	preposition
urn:cite:fufolio:pos.11.v1	n-p---fa-	noun, plural, feminine, accusative
urn:cite:fufolio:pos.12.v1	v-sppemn-	verb, singular, present, participle, medio-passive, masculine, nominative
urn:cite:fufolio:pos.13.v1	a-s---mn-	adjective, singular, masculine, nominative
urn:cite:fufolio:pos.14.v1	---------	unlabled
urn:cite:fufolio:pos.15.v1	v-sppamn-	verb, singular, present, participle, active, masculine, nominative
urn:cite:fufolio:pos.16.v1	n-s---fa-	noun, singular, feminine, accusative
urn:cite:fufolio:pos.17.v1	n-s---na-	noun, singular, neuter, accusative
urn:cite:fufolio:pos.18.v1	a-s---na-	adjective, singular, neuter, accusative
urn:cite:fufolio:pos.19.v1	a-p---na-	adjective, plural, neuter, accusative
urn:cite:fufolio:pos.20.v1	v3saia---	verb, third, singular, aorist, indicative, active
urn:cite:fufolio:pos.21.v1	p-s---md-	pronoun, singular, masculine, dative
urn:cite:fufolio:pos.22.v1	n-p---na-	noun, plural, neuter, accusative
urn:cite:fufolio:pos.23.v1	n-p---mg-	noun, plural, masculine, genitive
urn:cite:fufolio:pos.24.v1	n-p---ma-	noun, plural, masculine, accusative
urn:cite:fufolio:pos.25.v1	l-p---ng-	article, plural, neuter, genitive
