vertexUrn	orcaUrn	graphUrn	sequence	posUrn	label
urn:cite2:fufolio:vertices.v1:20170218095911705_1_1	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_1_0	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	1	urn:cite2:fufolio:partsOfSpeech.v1:956	πείθεο
urn:cite2:fufolio:vertices.v1:20170218095911709_1_2	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_2_1	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	2	urn:cite2:fufolio:partsOfSpeech.v1:144	δ᾽
urn:cite2:fufolio:vertices.v1:20170218095911710_1_3	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_3_2	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	3	urn:cite2:fufolio:partsOfSpeech.v1:144	ὥς
urn:cite2:fufolio:vertices.v1:20170218095911714_1_4	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_4_3	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	4	urn:cite2:fufolio:partsOfSpeech.v1:351	τοι
urn:cite2:fufolio:vertices.v1:20170218095911715_1_5	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_5_4	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	5	urn:cite2:fufolio:partsOfSpeech.v1:340	ἐγὼ
urn:cite2:fufolio:vertices.v1:20170218095911717_1_6	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_6_5	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	6	urn:cite2:fufolio:partsOfSpeech.v1:263	μύθου
urn:cite2:fufolio:vertices.v1:20170218095911719_1_7	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_7_6	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	7	urn:cite2:fufolio:partsOfSpeech.v1:266	τέλος
urn:cite2:fufolio:vertices.v1:20170218095911721_1_8	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_8_7	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	8	urn:cite2:fufolio:partsOfSpeech.v1:363	ἐν
urn:cite2:fufolio:vertices.v1:20170218095911722_1_9	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_9_8	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	9	urn:cite2:fufolio:partsOfSpeech.v1:234	φρεσὶ
urn:cite2:fufolio:vertices.v1:20170218095911723_1_10	urn:cite2:fufolio:syntaxToken.v1:0012_001_pers_16_83_10_9	urn:cite2:fufolio:hmtGraph.v1:Iliad16a	10	urn:cite2:fufolio:partsOfSpeech.v1:820	θείω
